"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.deque.com/","1","Deque Systems: Web Accessibility Software, Services & Training","62","573","Indexable",""
"https://www.deque.com/accessible-design/","1","Designing for Accessibility | Accessible Web Design | Deque","59","533","Indexable",""
"https://www.deque.com/company/our-team/","1","Our Team | Deque","16","164","Indexable",""
"https://www.deque.com/ada-compliance/","1","ADA Compliance for Websites | ADA Web Accessibility | Deque","59","559","Indexable",""
"https://www.deque.com/company/contact/","1","Contact Us | Deque Systems","26","254","Indexable",""
"https://accessibility.deque.com/website-accessibility-checklist-download","1","Website Accessibilty Checklist | Deque Systems","46","425","Indexable",""
"https://accessibility.deque.com/accessibility-consultation","1","Free Digital Accessibility Consultation","39","331","Indexable",""
"https://accessibility.deque.com/essential-guide-digital-accessibility","1","Essential Guide to Digital Accessibility | Deque Systems","56","492","Indexable",""
"https://www.deque.com/company/careers/","1","Web and Digital Accessibility Jobs | Careers at Deque Systems","61","556","Indexable",""
"https://www.deque.com/axe/","1","axe: Accessibility Testing Tools and Software","45","396","Indexable",""
"https://accessibility.deque.com/digital-accessibility-legal-update","1","Digital Accessibility Legal Update","34","293","Indexable",""
"https://www.deque.com/axe/devtools/","1","axe DevTools | Developer Tools for Accessibility Testing","56","493","Indexable",""
"https://accessibility.deque.com/on-demand-how-persons-with-disabilities-use-the-web","1","Webinar: How Persons with Disabilities Use the Web","50","466","Indexable",""
"https://www.deque.com/blog/accessibility-in-agile-transformational-practices/","1","Accessibility in Agile Transformational Practices | Deque","57","495","Indexable",""
"https://www.deque.com/resources/","1","Web Accessibility News & Resources | Deque Systems","50","485","Indexable",""
"https://www.deque.com/blog/","1","Web Accessibility Blog | Deque Systems","38","357","Indexable",""
"https://www.deque.com/global-accessibility-awareness-day-2020/","1","Global Accessibility Awareness Day (GAAD) 2020 with Deque","57","543","Indexable",""
"https://www.deque.com/axe-con/","1","axe-con Digital Accessibility Conference | Deque","48","427","Indexable",""
"https://www.deque.com/team/josh-mcclure/","1","Josh McClure | Deque","20","197","Indexable",""
"https://www.deque.com/team/denis-boudreau/","1","Denis Boudreau | Deque","22","217","Indexable",""
"https://www.deque.com/services/accessibility-empathy-lab/","1","Accessibility Empathy Lab | Deque","33","306","Indexable",""
"https://www.deque.com/accessibility-statement/","1","Deque Accessibility Statement","29","267","Indexable",""
"https://www.deque.com/training/","1","Accessibility Training | Deque","30","262","Indexable",""
"https://www.deque.com/axe/browser-extensions/","1","axe Chrome, Firefox, & Edge Accessibility Testing Browser Extensions","68","617","Indexable",""
"https://www.deque.com/services/","1","Web Accessibility Services | Deque Systems","42","393","Indexable",""
"https://www.deque.com/retail-ecommerce-accessibility/","1","Digital Accessibility in Retail | eCommerce Accessibility | Deque","65","559","Indexable",""
"https://www.deque.com/wcag/","1","WCAG Compliance: Web Content Accessibility Guidelines | Deque","61","589","Indexable",""
"https://www.deque.com/accessible-development/","1","Accessible Web Development | Deque Systems","42","420","Indexable",""
"https://www.deque.com/get-accessibility-help/","1","Get Accessibility Help | Deque","30","267","Indexable",""
"https://www.deque.com/accessibility-compliance/","1","Web Accessibility Compliance | Deque Systems","44","423","Indexable",""
"https://www.deque.com/company/careers/account-executive/","1","Account Executive | Deque","25","237","Indexable",""
"https://www.deque.com/axe/auditor/","1","axe Auditor | Web Accessibility Auditor Software","48","421","Indexable",""
"https://www.deque.com/healthcare-accessibility/","1","Accessible Healthcare Services | ADA Compliance for Healthcare","62","572","Indexable",""
"https://www.deque.com/agency-accessibility-partner-program/","1","Accessibility Partner for Digital Agencies | Deque Systems","58","511","Indexable",""
"https://www.deque.com/section-508-compliance/","1","Section 508 Compliance Testing | Deque Systems","46","443","Indexable",""
"https://www.deque.com/cvaa-compliance/","1","CVAA Compliance: Communications & Video Accessibility Act | Deque","65","619","Indexable",""
"https://www.deque.com/blog/deque-unifies-accessibility-software-under-axe/","1","Deque Unifies Accessibility Software Offerings Under The axe Brand","66","602","Indexable",""
"https://www.deque.com/company/","1","Company Overview | Deque Systems","32","329","Indexable",""
"https://www.deque.com/resources/type/webinars/","1","Webinars | Deque Systems","24","241","Non-Indexable","Canonicalised"
"https://www.deque.com/services/accessibility-remediation/","1","Accessibility Remediation | Deque","33","300","Indexable",""
"https://www.deque.com/axe/monitor/","1","axe Monitor | Digital Accessibility Monitoring and Reporting","60","517","Indexable",""
"https://www.deque.com/axe-con/code-of-conduct/","1","axe-con Code of Conduct | Deque","31","298","Indexable",""
"https://accessibility.deque.com/gaad-2020-digital-a11y-legal-update","1","GAAD 2020: Digital Accessibility Legal Update","45","410","Indexable",""
"https://accessibility.deque.com/quick-accessibility-checklist-designers-download","1","Quick Accessibility Checklist for Designers | Deque Systems","59","531","Indexable",""
"https://accessibility.deque.com/full-stack-a11y-d2l-webinar","1","Enabling Full-stack Accessibility in Online Learning: Webinar with D2L","70","621","Indexable",""
"https://accessibility.deque.com/nucleus-accessibility-research-2019","1","Research: The Internet is Unavailable","37","331","Indexable",""
"https://accessibility.deque.com/accessibility-annotation-tool-kit","1","Accessibility Annotations Tool Kit","34","291","Indexable",""
"https://www.deque.com/vpat/","1","Writing a Voluntary Product Accessibility Template (VPAT)","57","515","Indexable",""
"https://www.deque.com/education-accessibility/","1","Digital Accessibility in Education | Deque","42","360","Indexable",""
"https://www.deque.com/tools/amaze/","1","Amaze | Accessibility Overlays | Urgent Accessibility Help","58","505","Indexable",""
"https://accessibility.deque.com/manual-and-automated-accessibility-testing-unite-webinar","1","Manual And Automated Accessibility Testing Unite Webinar","56","524","Indexable",""
"https://accessibility.deque.com/accessible-technology-and-building-literacy","1","Accessible Technology and Building Digital Literacy","51","456","Indexable",""
"https://www.deque.com/telecommunications-accessibility/","1","Accessibility in Telecommunications | Deque","43","393","Indexable",""
"https://www.deque.com/blog/category/uncategorized/","1","Uncategorized Archives | Deque","30","284","Indexable",""
"https://www.deque.com/finance-banking-accessibility/","1","Accessible Banking & Finance Services | ADA Compliance for Banks","64","604","Indexable",""
"https://accessibility.deque.com/teleworking-people-with-disabilities","1","GAAD 2020: Teleworking for People with Disabilities","51","461","Indexable",""
"https://accessibility.deque.com/accessibility-empathy-lab","1","Accessibility Empathy Lab","25","231","Indexable",""
"https://accessibility.deque.com/virtual-instructor-led-training","1","Virtual Instructor Led Training","31","261","Indexable",""
"https://www.deque.com/terms-of-use/","1","Terms of Use | Deque","20","193","Indexable",""
"https://accessibility.deque.com/accessibility-compliance-get-started","1","Digital Accessibility Compliance: A Guide to Getting Started","60","522","Indexable",""
"https://www.deque.com/privacy-policy/","1","Deque Privacy Policy | Deque","28","263","Indexable",""
"https://www.deque.com/blog/category/accessibility-best-practices/","1","Web Accessibility Best Practices | Deque","40","362","Indexable",""
"https://www.deque.com/aoda-compliance/","1","AODA Compliance: Accessibility for Ontarians with Disabilities Act","66","580","Indexable",""
"https://www.deque.com/blog/category/accessibility-matters/","1","Accessibility Compliance Matters | Deque","40","365","Indexable",""
"https://www.deque.com/shift-left/","1","Shift Left | Deque","18","153","Indexable",""
"https://www.deque.com/team/alex-okros/","1","Alex Okros | Deque","18","170","Indexable",""
"https://www.deque.com/blog/category/section-508/","1","Federal Government & Section 508 News & Resources | Deque","57","558","Indexable",""
"https://www.deque.com/blog/category/accessible-user-experience/","1","Accessible User Experience & Design | UX Accessibility | Deque","62","565","Indexable",""
"https://www.deque.com/blog/category/deque-news-updates/","1","Company News & Updates Archives | Deque","39","394","Indexable",""
"https://www.deque.com/government-accessibility/","1","Digital Accessibility for Government Agencies | Deque","53","473","Indexable",""
"https://www.deque.com/blog/category/featured-post/","1","Featured Post Archives | Deque","30","279","Indexable",""
"https://www.deque.com/blog/building-culture-accessibility-leadership-roles/","1","Building a Culture of Accessibility: Leadership Roles","53","459","Indexable",""
"https://www.deque.com/blog/category/deque-university/","1","Deque University Archives | Deque","33","308","Indexable",""
"https://www.deque.com/blog/category/accessibility-in-the-news/","1","Accessibility in the News Archives | Deque","42","373","Indexable",""
"https://www.deque.com/team/matt-allen/","1","Matt Allen | Deque","18","162","Indexable",""
"https://www.deque.com/team/jatin-vaishnav/","1","Jatin Vaishnav | Deque","22","203","Indexable",""
"https://www.deque.com/team/cb-averitt/","1","CB Averitt | Deque","18","163","Indexable",""
"https://www.deque.com/blog/category/deque-how-to/","1","Deque How To Archives | Deque","29","288","Indexable",""
"https://www.deque.com/services/accessibility-audits/","1","Web Accessibility Audits | Deque Systems","40","373","Indexable",""
"https://www.deque.com/blog/category/accessibility-resources-for-developers/","1","Accessibility Resources for Developers","38","342","Indexable",""
